rank,tnt_name,tnt_sunflower,mjq_name,mjq_sunflower,dcx_name,dcx_sunflower,syx_name,syx_sunflower,lyw_name,lyw_sunflower,zzy_name,zzy_sunflower,yhx_name,yhx_sunflower,hjl_name,hjl_sunflower
1,萱哥不是萱哥哦,13100,是小马激光阿,11550,抓鑫鑫煮粥,150000,我的大名叫盖亚,7000,小文叮咚,20440,单纯冲着玩一下,14160,小白菜心里甜,11440,小贺哥哥的老婆,5220
2,大胡子船长嘿嘿嘿,11110,赛利好饿,10000,里拉的唯一小福鑫,100000,单纯冲着玩一下,6000,读秒也争气,19230,Junnnnnnie,10000,多吃晚饭,10170,kyochan,5030
3,求求您了！,11100,亲签有我一份,6710,宝宝最可爱！,88880,Junnnnnnie,5040,给宝贝的压岁钱,7150,真真不戳,5020,那我装得像啊,9000,有富婆把我弄下去吗,4200
4,阿捷,11100,大表姐,6660,肉丸也爱喜喜,55000,花吃了吗,5040,·抱走吻文·,6100,真的宝宝,5020,二薇薇二,6000,冬日暖阳的一抹光,4000
5,小米乐,9950,小马是乖宝宝,5290,喜帝爱肉丸,52240,轩轩成长快乐,5010,天黑天亮都会站在你身旁,5170,我的大名叫盖亚,5020,请公平对待严浩翔,5000,想吃章鱼烧的小吴,3020
6,·抱走吻文·,7000,拜托给个机会,5180,丁程鑫小年快乐呀(//̀Д/́/),52240,壮士请留步,5000,newokay,3020,PAYRAY-0305,5010,sjxw,5000,基金绿了不冲了,3000
7,A.求求爸爸们给我个机会,5600,一枚追星的小丸子,4020,萌萌的飞行日记 01,52000,鱼饼绘宋,4000,njy.,3000,壮士请留步,5000,大胡子船长嘿嘿嘿,4910,贺峻霖是仙子,1880
8,好嘉鑫亚耀源翔贺,4920,-隔壁老李_,3100,招生办来抢人了,43060,好喜歡番茄,2170,蜜桃冰川,2700,小张不圆！,3030,萱哥不是萱哥,4910,啊吧啊吧,1730
9,顾简易,3100,是小殷吖,1520,楼上心心想去哪咱就去哪！,32130,Grace wwwwwww,2000,只是个猪猪包,2700,江江超有爱,1530,萱哥不是萱哥哦,4900,兔兔好吃吗,1720
10,萱哥不是萱哥,3060,沫然喜欢凯露,1340,今天宝宝发微博了吗,22400,轩轩要快乐,1670,是吻文文文呀,2620,数一数1234567,1060,kk_orb,4560,今年高考球球给我个机会吧,1720
11,白白223456,3000,你是美女别和我抢了求求了,1080,天黑天亮都会站在你身旁,22400,青梅甜酒,1400,萱哥不是萱哥,2600,哈嘻嘻嘻哈,1050,不要不要下雨,4490,麻袋袋子,1720
